name,winery,country,latitude,longitude
291,Saint Clair,New Zealand,42.8208653,-82.486024
292,Jean-Marc Morey,France,46.9380673,4.7313782
293,La Chablisienne,France,46.9380673,4.7313782
294,Château de Pampelonne,France,43.2375489,6.650968
295,René Muré,France,43.2375489,6.650968
296,Philipp Kuhn,Germany,49.5530676,8.2316773
297,Abadal,Spain,41.8184631,1.9791708
298,Trapiche,Argentina,41.8184631,1.9791708
299,Weingut Weegmüller,Germany,49.3610284,8.138097499999999
300,Manz,Germany,49.3610284,8.138097499999999
301,Sattlerhof,Austria,46.7133078,15.5393226
302,Pazo Señorans,Spain,42.5471983,-8.708844
303,Markus Molitor,Germany,42.5471983,-8.708844
304,Saint Clair,New Zealand,42.8208653,-82.486024
305,Spreitzer,Germany,48.13691,8.75783
306,Meyer - Näkel,Germany,50.5361439,7.044255799999999
307,Manz,Germany,50.5361439,7.044255799999999
308,Vignobles Marie Maria,France,43.5207039,-0.0907526
309,Knipser,Germany,43.5207039,-0.0907526
310,Pfannebecker,Germany,43.5207039,-0.0907526
311,Weingut Metzger,Germany,49.57853309999999,8.161003599999999
312,Frédéric Magnien,France,47.19521200000001,4.969758
313,Markus Molitor,Germany,47.19521200000001,4.969758
314,Nuevo Mundo,Chile,-11.537271,-73.14381159999999
315,Peter Jakob Kühn,Germany,50.01094000000001,8.02121
316,Mortiès,France,37.8980921,-88.927115
317,Domaine Bousquet,Argentina,-33.4327804,-69.1925673
318,Domaine Sylvain Morey,France,-33.4327804,-69.1925673
319,Bouchard Père & Fils,France,-33.4327804,-69.1925673
320,Hensel,Germany,-33.4327804,-69.1925673
321,La Poussie,France,-33.4327804,-69.1925673
322,Loimer,Austria,48.4820775,15.6824926
323,Weiser-Künstler,Germany,49.9522315,7.1122888
324,Trapiche,Argentina,49.9522315,7.1122888
325,Villa Cavarena,Italy,41.21833400000001,14.5820977
326,Joachim Flick,Germany,50.0256932,8.397109
327,Castello Pomino,Italy,43.81774799999999,11.5481573
328,Domaine Henri Delagrange et Fils,France,47.0063605,4.7761406
329,Georg Mosbacher,Germany,49.42322310000001,8.189898099999999
330,Müller-Catoir,Germany,49.3613071,8.1378202
331,Schloss Vollrads,Germany,50.0138224,7.9950867
332,Casa Lunardi,Italy,50.0138224,7.9950867
333,Firriato,Italy,38.1129343,15.1110949
334,Winzer Sommerach,Germany,49.8300657,10.2021953
335,Les Héritiers du Comte Lafon,France,46.3500686,4.6962686
336,MontGras,Chile,46.3500686,4.6962686
337,Franz Keller,Germany,46.3500686,4.6962686
338,Boschendal,South Africa,-33.8774894,18.9727309
339,Domaine de l'Horizon,France,42.7490171,2.6777274
340,Monte Pietroso,Italy,41.7333333,13.9166667
341,Univitis,France,44.7943351,0.1767461
342,Monte Paschoal,Brazil,44.7943351,0.1767461
343,Battenfeld Spanier,Germany,49.93124,8.3066
344,M. Chapoutier,France,49.93124,8.3066
345,Gnarly Head,United States,49.93124,8.3066
346,Lackner Tinnacher,Austria,46.6961642,15.5395883
347,Dr. Bürklin-Wolf,Germany,46.6961642,15.5395883
348,Bodegas Aradon,Spain,42.4031668,-2.1250497
349,Régnard,France,42.4031668,-2.1250497
350,Arnaldo-Caprai,Italy,42.92227320000001,12.6419057
351,Reichsgraf von Kesselstatt,Germany,42.92227320000001,12.6419057
352,Domaine de la Janasse,France,42.92227320000001,12.6419057
353,Jean-Rémy Haeffelin,France,42.92227320000001,12.6419057
354,Alban Roblin,France,47.3664672,2.8038547
355,Castelfeder,Italy,47.3664672,2.8038547
356,Cuatro Rayas,Spain,41.4043085,-4.8991946
357,Tement,Austria,46.6861778,15.6125406
358,Künstler,Germany,46.6861778,15.6125406
359,St. Michael-Eppan,Italy,46.4560767,11.2623877
360,Weingut A. Diehl,Germany,46.4560767,11.2623877
361,Philipp Kuhn,Germany,49.5530676,8.2316773
362,Castello Pomino,Italy,43.81774799999999,11.5481573
363,Château de Corneilla,France,42.6254321,2.9487442
364,Markus Molitor,Germany,42.6254321,2.9487442
365,Bischöfliche Weingüter Trier,Germany,49.75153419999999,6.6399687
366,Hirsch,Austria,49.75153419999999,6.6399687
367,Nals Margreid,Italy,46.5388341,11.2039337
368,Brandano,Italy,42.4334694,-71.07096659999999
369,Valdecuevas,Spain,41.393648,-4.980754999999999
370,Astoria,Italy,40.7643574,-73.92346189999999
371,Hofmann,Germany,40.7643574,-73.92346189999999
372,St. Antony,Germany,40.7643574,-73.92346189999999
373,Domaine Henri Boillot,France,46.9686198,4.7971731
374,Cielo e Terra,Italy,45.4947822,11.3626897
375,Vietti,Italy,44.6242163,7.9791973
376,Wittmann,Germany,41.8483505,-73.07505789999999
377,McGregor,South Africa,41.8483505,-73.07505789999999
378,Weingut Toni Jost,Germany,50.0582938,7.7683308
379,Rocca delle Macìe,Italy,50.0582938,7.7683308
380,Gmeinböck Poysdorf,Austria,48.6667107,16.6078275
381,Garciarevalo,Spain,41.4119523,-4.7921423
382,Puklavec Family Wines,Slovenia,46.4048917,16.1538974
383,Quinta da Plansel,Portugal,38.636934,-8.204917
384,Malavasi,Italy,38.636934,-8.204917
385,Schäfer-Fröhlich,Germany,49.8376011,7.680954599999999
386,Leefield Station,New Zealand,49.8376011,7.680954599999999
387,Château de Roquefort,France,43.24979889999999,5.6390094
388,De Grendel,South Africa,-33.851365,18.571616
389,Nals Margreid,Italy,46.5388341,11.2039337
390,Rudolf Fürst,Germany,49.7120001,9.28371
391,Livio Felluga,Italy,49.7120001,9.28371
392,Chéreau-Carré,France,47.131625,-1.410248
393,Carl Loewen,Germany,49.820941,6.8760936
394,Bischel,Germany,38.7089133,-93.2712811
395,Weingut Erich & Walter Polz,Austria,38.7089133,-93.2712811
396,Domaine du Tariquet,France,38.7089133,-93.2712811
397,Markus Molitor,Germany,38.7089133,-93.2712811
398,Anita Nittnaus Hans,Austria,47.8970809,16.9109529
399,Delaire Graff,South Africa,-33.9202951,18.9218332
400,Weingut Bürgermeister Carl Koch,Germany,49.8494825,8.3538873
401,Domaine Servin,France,47.8155479,3.8043411
402,Carl Loewen,Germany,49.820941,6.8760936
403,Neil Ellis,South Africa,25.031148,-77.334599
404,Hacienda,United States,25.031148,-77.334599
405,Lucashof,Germany,49.4267195,8.192565199999999
406,Antares,Chile,49.4267195,8.192565199999999
407,Raphael Midoir,France,47.3643483,1.4757212
408,Prieto Pariente,Spain,41.4150941,-4.9345456
409,Heumann,Hungary,41.4150941,-4.9345456
410,Alturis,Italy,46.0775697,13.4433711
411,Gerard Tremblay,France,47.8233478,3.7740816
412,Montecelli,Italy,42.70004110000001,13.7319939
413,Friedrich Becker,Germany,42.70004110000001,13.7319939
414,Hannes Reeh,Austria,47.7740948,17.0430434
415,Pranzegg,Italy,46.4907475,11.371502
416,Kühling-Gillot,Germany,49.93124,8.3066
417,Bischöfliche Weingüter Trier,Germany,49.75153419999999,6.6399687
418,Groebe,Germany,49.7065206,8.247726499999999
419,Carl Loewen,Germany,49.820941,6.8760936
420,Stahl,Germany,49.820941,6.8760936
421,Curious Kiwi,New Zealand,49.820941,6.8760936
422,Chanson,France,49.820941,6.8760936
423,Egon Müller - Scharzhof,Germany,49.820941,6.8760936
424,Horst Sauer,Germany,49.86195739999999,10.1736086
425,Cape Point Vineyards,South Africa,-34.0992388,18.3824583
426,Heger,Germany,-34.0992388,18.3824583
427,Serafim,Romania,-34.0992388,18.3824583
428,Dr. Loosen,Germany,-34.0992388,18.3824583
429,Saint Clair,New Zealand,42.8208653,-82.486024
430,Lis Neris,Italy,45.9293858,13.5271326
431,Matthias Warnung,Austria,48.442876,15.7404749
432,Château Mont-Pérat,France,48.442876,15.7404749
433,Dr. Von Bassermann-Jordan,Germany,49.4081542,8.1857663
434,Spreitzer,Germany,48.13691,8.75783
435,Matthias Warnung,Austria,48.442876,15.7404749
436,St. Michael-Eppan,Italy,46.4560767,11.2623877
437,Dr. Loosen,Germany,46.4560767,11.2623877
438,Poderi del Paradiso,Italy,43.486116,11.0371017
439,Corte Giara,Italy,45.5403587,10.883506
440,Domaine Anderson,United States,39.0586064,-123.430396
441,Markowitsch,Austria,48.0554417,16.738552
442,Elena Walch,Italy,46.3385258,11.2385953
443,Klaus Lentsch,Italy,46.4664691,11.2542729
444,Monmousseau,France,47.3448719,1.19732
445,Nautilus,New Zealand,47.3448719,1.19732
446,David Moret-Nomine,France,47.02226899999999,4.8426516
447,E. Guigal,France,47.02226899999999,4.8426516
448,David Moret-Nomine,France,47.02226899999999,4.8426516
449,Oliver Zeter,Germany,49.37067889999999,8.1433803
450,Gut Hermannsberg,Germany,49.7961111,7.758333299999999
451,Weingut Bründlmayer,Austria,48.4738838,15.6650811
452,Markus Molitor,Germany,48.4738838,15.6650811
453,Markus Molitor,Germany,48.4738838,15.6650811
454,Albet i Noya,Spain,41.3847222,1.8066667
455,Markus Huber,Austria,48.337472,15.697274
456,Louis Latour,France,48.337472,15.697274
457,Altos de Rioja,Spain,42.574904,-2.544317
458,Bischöfliche Weingüter Trier,Germany,49.75153419999999,6.6399687
459,Monchiero Carbone,Italy,44.796416,7.987736000000001
460,Luisa,Italy,44.796416,7.987736000000001
461,M. Chapoutier,France,44.796416,7.987736000000001
462,Dönnhoff,Germany,44.796416,7.987736000000001
463,Torres,Spain,44.796416,7.987736000000001
464,Casa Lunardi,Italy,44.796416,7.987736000000001
465,Prinz von Hessen,Germany,49.99530859999999,7.9814577
466,Kühling-Gillot,Germany,49.93124,8.3066
467,Lionel Osmin & Cie,France,43.3261779,-0.3296551
468,Biniagual,Spain,39.6671225,2.8756369
469,Diel,Germany,39.6671225,2.8756369
470,Fleur du Cap,South Africa,39.6671225,2.8756369
471,Quinta do Silval,Portugal,41.2309337,-7.5284863
472,Schloss Lieser,Germany,49.9172879,7.0195801
473,Délival,Switzerland,49.9172879,7.0195801
474,Forstmeister Geltz-Zilliken,Germany,49.605545,6.5432753
475,Weingut Metzger,Germany,49.57853309999999,8.161003599999999
476,Tenuta Iuzzolini,Italy,39.3418635,17.1052444
477,Domaine de la Janasse,France,39.3418635,17.1052444
478,Anita Nittnaus Hans,Austria,47.8970809,16.9109529
479,Franz Gojer,Italy,46.4996436,11.3757829
480,Darei,Portugal,46.4996436,11.3757829
481,Weingut Knoll,Austria,48.3883514,15.5422425
482,Kühling-Gillot,Germany,49.93124,8.3066
483,Rudolf May,Germany,49.9125057,9.867397
484,Gallo Family Vineyards,United States,49.9125057,9.867397
485,Robert Mondavi,United States,38.4414728,-122.4100923
486,Rocca di Castagnoli,Italy,43.44339,11.4517478
487,Trimbach,France,48.1944177,7.3254174
488,José Pariente,Spain,48.1944177,7.3254174
489,Markus Molitor,Germany,48.1944177,7.3254174
490,Sartori,Italy,48.1944177,7.3254174
491,Schwedhelm Zellertal,Germany,49.6502525,8.1429774
492,Knewitz,Germany,49.92575,8.04167
493,Domaine Henri Boillot,France,46.9686198,4.7971731
494,Hugel,France,46.9686198,4.7971731
495,Gritsch Mauritiushof,Austria,48.3656924,15.4145285
496,Langlois-Chateau,France,47.2703169,-0.1046324
497,Drostdy-Hof,South Africa,47.2703169,-0.1046324
498,Cape Point Vineyards,South Africa,-34.0992388,18.3824583
499,Glen Carlou,South Africa,-33.8117628,18.9032982
500,Castello Monaci,Italy,40.3886681,17.8795064
501,Salwey,Germany,48.0889834,7.6292858
502,Weingut Gunderloch,Germany,49.9146801,8.3438728
503,Prinz Salm,Germany,49.8889283,7.763304199999999
504,Springfontein,South Africa,-30.2557752,25.692424
505,Flor de Chasna,Spain,-30.2557752,25.692424
506,Cantina Kaltern,Italy,46.4208679,11.2520982
507,Bouchard Finlayson,South Africa,-34.381722,19.241867
508,Knipser,Germany,-34.381722,19.241867
509,Gérard Bertrand,France,-34.381722,19.241867
510,Drostdy-Hof,South Africa,-34.381722,19.241867
511,Hajszan Neumann,Austria,48.25381650000001,16.3587003
512,Firriato,Italy,38.1129343,15.1110949
513,San Marzano,Italy,40.7279967,-73.9884379
514,Nava Real,Spain,40.7292414,-4.0136378
515,Rudolf May,Germany,49.9125057,9.867397
516,Villamedoro,Italy,42.6030466,13.8954889
517,Weingut Gunderloch,Germany,49.9146801,8.3438728
518,Heger,Germany,49.9146801,8.3438728
519,Feudo Arancio,Italy,37.6528056,13.0170393
