Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,Type,latitude,longitude
Tinto 2015,Portugal,Bairrada,Vadio,3.8,244,13.9,2015,Red,-33.4177536,-70.60170280000001
Toscana Rosso 2016,Italy,Toscana,Collazzi,4.2,244,38.02,2016,Red,43.718174,11.1975145
Barbaresco 2014,Italy,Barbaresco,Ceretto,3.9,244,43.6,2014,Red,44.6722487,7.996287499999999
Merlot 2017,South Africa,Paarl,Backsberg,3.6,244,10.25,2017,Red,-33.9049045,19.1110113
Reserva 2012,Spain,Ribera del Duero,Protos,4.1,2443,25.9,2012,Red,-33.9049045,19.1110113
Alta Colección Malbec Mendoza 2019,Argentina,Mendoza,Bodega Piedra Negra,4.0,245,8.99,2019,Red,-33.6090951,-69.20386979999999
Eight Songs Shiraz 2014,Australia,Barossa,Peter Lehmann,4.1,245,33.59,2014,Red,-34.5062769,138.967706
Dominus (Christian Moueix) 2016,United States,Napa Valley,Dominus,4.5,245,355.8,2016,Red,-34.5062769,138.967706
Writer's Block Pinotage 2017,South Africa,Western Cape,Flagstone,4.4,245,21.63,2017,Red,-34.5062769,138.967706
Lezèr 2019,Italy,Vigneti delle Dolomiti,Foradori,3.9,245,13.8,2019,Red,46.2155358,11.0931067
Oak Aged Red Blend 2014,Spain,Navarra,Pago de Cirsus,3.7,245,12.66,2014,Red,41.9784929,-1.5773735
d'Arry's Original Shiraz - Grenache 2016,Australia,McLaren Vale,d'Arenberg,3.7,245,14.63,2016,Red,-35.19721639999999,138.5511368
Pomerol 2005,France,Pomerol,Château Petit-Village,4.2,245,94.95,2005,Red,44.92422,-0.20065
Côtes-du-Rhône Réserve Rouge 2017,France,Côtes-du-Rhône,Famille Perrin,3.7,2455,8.9,2017,Red,44.92422,-0.20065
Old Vines Grenache - Shiraz - Mourvedre 2017,Australia,Barossa Valley,Torbreck,4.0,246,17.79,2017,Red,-34.4763283,138.9488547
